Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,28.0625,28.75,27.125,27.1875,1730100,23.096245
2000-01-04,27.25,28.0,26.875,27.375,1373300,23.255529
2000-01-05,27.375,27.8125,26.5,26.5,1450800,22.512202
2000-01-06,26.625,27.375,26.5,26.6875,1269400,22.671485999999998
2000-01-07,27.0,28.4375,26.375,27.6875,1509400,23.521003
2000-01-10,29.0,29.0,27.625,28.0,1381500,23.786476999999998
2000-01-11,28.0,28.125,27.5625,27.875,1357200,23.680288
2000-01-12,28.0,29.125,28.0,28.4375,2002200,24.158141
2000-01-13,28.5,28.75,28.125,28.125,1132200,23.892667000000003
2000-01-14,28.25,28.375,27.4375,27.5,1553000,23.361719
2000-01-18,27.625,28.1875,27.5,27.5625,1095600,23.414814
2000-01-19,27.875,28.4375,27.25,27.25,2531300,23.14934
2000-01-20,27.0,27.0625,26.125,26.125,1705800,22.193633
2000-01-21,26.125,26.1875,24.5,25.25,3337200,21.450305
2000-01-24,25.6875,25.75,25.0625,25.0625,1050900,21.291021
2000-01-25,25.3125,25.4375,24.125,24.125,1206900,20.494598999999997
2000-01-26,24.25,24.875,24.25,24.375,935900,20.706978
2000-01-27,24.5,24.875,24.375,24.8125,645700,21.078642000000002
2000-01-28,24.625,24.6875,23.0625,23.4375,1650000,19.910556
2000-01-31,23.25,23.75,22.75,23.75,1505000,20.176029999999997
2000-02-01,23.6875,24.5,23.25,24.0,1224500,20.388409
2000-02-02,23.9375,24.0,22.625,23.25,1013300,19.751271
2000-02-03,22.75,23.25,22.4375,22.75,1733600,19.326513000000002
2000-02-04,22.8125,23.0,22.25,22.25,917200,18.901754
2000-02-07,22.625,23.4375,22.1875,23.0,1357200,19.538892
2000-02-08,23.25,23.4375,22.0625,22.0625,1651700,18.74247
2000-02-09,22.125,23.9375,22.125,22.75,2877600,19.326513000000002
2000-02-10,23.125,23.625,22.5625,23.0,2212100,19.538892
2000-02-11,23.0,23.125,21.875,21.875,1912400,18.583185
2000-02-14,21.625,23.125,21.625,22.0,1925000,18.949251999999998
2000-02-15,22.0,25.125,21.9375,23.875,2625900,20.564245
2000-02-16,25.25,25.25,23.625,23.9375,1907700,20.618078
2000-02-17,24.375,24.375,23.375,23.375,833300,20.13358
2000-02-18,23.4375,24.3125,22.875,23.625,1730500,20.348912
2000-02-22,23.6875,25.4375,23.5,24.375,1546500,20.994909
2000-02-23,24.5,24.875,24.125,24.125,1164500,20.779577
2000-02-24,24.125,24.8125,23.4375,23.4375,1613600,20.187413
2000-02-25,23.6875,24.4375,22.875,22.875,1234700,19.702915
2000-02-28,22.9375,23.375,22.625,22.75,1035100,19.595249
2000-02-29,22.375,22.9375,22.0625,22.875,1413800,19.702915
2000-03-01,22.625,22.75,21.625,21.625,1815700,18.626253
2000-03-02,22.5,22.625,21.75,22.4375,1135600,19.326082999999997
2000-03-03,22.1875,23.125,21.875,22.0625,964900,19.003085000000002
2000-03-06,22.0,22.3125,21.5,21.5625,940300,18.57242
2000-03-07,21.5,21.5625,20.75,20.75,1377400,17.87259
2000-03-08,21.0,21.75,20.625,20.6875,1512300,17.818756
2000-03-09,20.5,21.5625,20.375,20.625,1092000,17.764923
2000-03-10,20.875,21.75,20.5,20.875,1306300,17.980256
2000-03-13,20.5,21.0,20.5,20.5625,1155500,17.71109
2000-03-14,20.625,20.875,20.375,20.375,1018600,17.549591
2000-03-15,20.5,22.375,20.4375,21.9375,1259300,18.895418
2000-03-16,23.875,24.1875,22.75,23.0,2280600,19.810581
2000-03-17,23.125,24.9375,23.0625,23.4375,1639000,20.187413
2000-03-20,24.0,24.1875,23.3125,23.3125,833900,20.079747
2000-03-21,23.1875,24.5,23.0,23.75,1057700,20.456578
2000-03-22,23.75,24.1875,23.3125,23.4375,676500,20.187413
2000-03-23,23.375,23.875,23.1875,23.5625,584800,20.295079
2000-03-24,23.5625,24.25,23.4375,24.125,849600,20.779577
2000-03-27,24.0,24.125,23.625,24.0625,840700,20.725744
2000-03-28,23.625,23.75,23.0625,23.0625,888600,19.864414
2000-03-29,23.0,23.0625,22.5625,22.75,1153100,19.595249
2000-03-30,22.875,23.8125,22.75,23.4375,943000,20.187413
2000-03-31,23.375,23.4375,22.875,23.3125,1297500,20.079747
2000-04-03,23.4375,25.5,22.9375,25.3125,1682900,21.802406
