Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,56.625,57.25,56.375,57.0,391200,13.09963
2000-01-04,57.0,58.0,56.25,56.25,500800,12.927267
2000-01-05,56.5,56.75,55.6875,55.75,260400,12.812358
2000-01-06,55.75,56.375,55.4375,56.0625,239200,12.884176
2000-01-07,56.0,57.0625,56.0,57.0,313600,13.09963
2000-01-10,57.25,57.75,57.125,57.3125,159600,13.171448000000002
2000-01-11,57.25,57.25,55.625,55.9375,383200,12.855449
2000-01-12,55.9375,55.9375,55.0,55.5,158000,12.754903
2000-01-13,55.5,55.625,55.25,55.5,158400,12.754903
2000-01-14,55.25,56.875,55.125,56.1875,272400,12.912903
2000-01-18,56.125,56.5,55.625,56.125,236400,12.898539999999999
2000-01-19,55.875,56.5625,55.625,56.125,193600,12.898539999999999
2000-01-20,56.0,59.625,55.875,59.1875,532000,13.602357000000001
2000-01-21,59.25,59.625,58.4375,59.375,104800,13.645448000000002
2000-01-24,59.5,60.25,59.0,59.125,592000,13.587994
2000-01-25,60.5,61.0,59.25,60.8125,1026800,13.975812
2000-01-26,61.0,62.5,60.875,61.8125,784400,14.20563
2000-01-27,61.8125,62.5,61.375,61.375,316000,14.105084
2000-01-28,61.5625,61.9375,60.625,60.625,398400,13.932720999999999
2000-01-31,60.6875,60.6875,58.375,58.375,385600,13.415629999999998
2000-02-01,58.0,58.125,57.125,57.4375,424400,13.200176
2000-02-02,57.6875,57.8125,57.125,57.25,205600,13.157085
2000-02-03,57.4375,58.0625,57.0,57.1875,402000,13.142721
2000-02-04,57.3125,57.3125,55.75,56.9375,369200,13.085267
2000-02-07,56.8125,58.1875,56.75,57.75,181600,13.283659
2000-02-08,58.0,58.875,58.0,58.875,191200,13.542431
2000-02-09,59.125,61.5,59.125,61.0,511600,14.031224
2000-02-10,60.875,61.125,59.875,60.5,353600,13.916214000000002
2000-02-11,60.75,61.75,60.625,61.5,420400,14.146234
2000-02-14,61.75,62.25,61.0,61.0625,744400,14.0456
2000-02-15,61.0625,61.5,60.625,61.0625,309200,14.0456
2000-02-16,61.0,61.9375,61.0,61.0625,96800,14.0456
2000-02-17,61.3125,63.75,61.0,62.0,191600,14.261244
2000-02-18,62.25,62.25,61.0,61.0,250400,14.031224
2000-02-22,61.625,62.0,59.75,61.8125,244000,14.218115
2000-02-23,61.5625,62.25,60.875,60.875,340400,14.002471
2000-02-24,61.125,62.3125,60.25,60.875,294400,14.002471
2000-02-25,60.75,61.4375,60.0,60.375,516400,13.887460999999998
2000-02-28,60.25,60.25,57.125,58.625,294400,13.484926000000002
2000-02-29,60.0,63.0,60.0,61.9375,610400,14.246868
2000-03-01,61.9375,62.0,60.3125,61.375,456800,14.117481
2000-03-02,61.5,61.8125,59.5625,59.6875,266400,13.729322
2000-03-03,59.75,60.25,58.9375,59.375,326400,13.657441
2000-03-06,59.5,61.3125,59.5,60.125,285200,13.829956
2000-03-07,60.125,60.1875,57.8125,57.8125,135200,13.298035
2000-03-08,58.0,59.3125,58.0,58.8125,192800,13.528054999999998
2000-03-09,58.9375,60.25,58.8125,60.25,280800,13.858709
2000-03-10,60.25,61.8125,60.0,60.3125,177200,13.873085000000001
2000-03-13,60.3125,60.3125,58.25,58.25,189600,13.398669
2000-03-14,58.375,58.625,56.25,56.875,196000,13.082391000000001
2000-03-15,56.875,58.6875,56.875,58.0,331200,13.341164000000001
2000-03-16,58.0,59.75,58.0,58.9375,362400,13.556807000000001
2000-03-17,58.6875,59.25,58.625,58.9375,195600,13.556807000000001
2000-03-20,58.9375,60.25,58.5,58.875,88800,13.542431
2000-03-21,58.8125,58.8125,57.4375,58.5625,100000,13.47055
2000-03-22,58.8125,60.3125,58.8125,59.875,330000,13.772451
2000-03-23,59.625,60.125,59.5,59.625,279600,13.714946
2000-03-24,59.625,59.625,57.75,58.1875,620000,13.384292000000002
2000-03-27,58.4375,59.0,58.25,58.625,124800,13.484926000000002
2000-03-28,58.625,58.875,57.25,57.3125,313600,13.183025
2000-03-29,57.1875,57.875,56.75,56.8125,311600,13.068014999999999
2000-03-30,56.6875,57.4375,56.4375,56.875,242000,13.082391000000001
2000-03-31,57.1875,60.9375,57.1875,60.0,498400,13.801204
2000-04-03,59.75,60.1875,59.25,59.5,302000,13.686194
2000-04-04,59.75,60.0,57.875,59.3125,218800,13.643065
2000-04-05,59.0625,60.3125,59.0625,60.1875,185600,13.844332000000001
2000-04-06,60.1875,61.4375,59.25,59.25,210800,13.628689000000001
2000-04-07,59.3125,59.9375,57.8125,59.9375,280400,13.786826999999999
2000-04-10,59.9375,60.5625,57.875,57.875,236800,13.312410999999999
2000-04-11,57.9375,58.5,57.875,58.125,299600,13.369916
2000-04-12,57.875,61.5,57.875,61.25,507200,14.088729
2000-04-13,61.0,61.5,60.5625,60.875,277200,14.002471
2000-04-14,60.625,62.0,60.5625,61.0,329600,14.031224
2000-04-17,61.0625,61.0625,58.8125,60.0,343200,13.801204
2000-04-18,59.875,59.9375,58.875,59.4375,583200,13.671817
2000-04-19,59.4375,59.4375,58.625,58.875,287600,13.542431
2000-04-20,58.8125,59.0,58.5,58.9375,448000,13.556807000000001
2000-04-24,58.6875,58.75,57.8125,57.8125,76800,13.298035
2000-04-25,57.9375,61.625,57.9375,61.625,630800,14.174985999999999
2000-04-26,62.25,63.375,62.1875,62.9375,457200,14.476888
2000-04-27,62.9375,67.25,62.75,67.25,394400,15.468848999999999
2000-04-28,67.4375,68.5,63.0,65.375,606000,15.037560999999998
2000-05-01,65.5625,67.1875,65.4375,67.0625,467600,15.425720000000002
2000-05-02,66.8125,67.0,65.3125,65.6875,336400,15.109442999999999
2000-05-03,65.9375,66.125,64.6875,64.6875,528000,14.879423000000001
2000-05-04,64.8125,65.625,64.8125,65.0,296000,14.951304
2000-05-05,65.0625,66.9375,65.0625,66.9375,318400,15.396968
2000-05-08,66.625,66.625,63.0,63.0,304000,14.502096
2000-05-09,63.5,63.9375,62.6875,63.3125,336800,14.574031
2000-05-10,63.375,64.3125,62.0,62.0,125600,14.271904000000001
2000-05-11,62.0,64.625,61.4375,63.5,239200,14.617192000000001
2000-05-12,63.75,65.125,63.75,64.6875,373600,14.890545000000001
2000-05-15,64.9375,65.6875,64.5625,65.0,328800,14.96248
2000-05-16,65.1875,65.5625,64.25,64.6875,111600,14.890545000000001
2000-05-17,64.5,64.875,64.0,64.0625,61600,14.746675
2000-05-18,63.9375,64.1875,62.875,62.875,98800,14.473322
2000-05-19,62.875,62.875,61.25,61.375,143600,14.128034
2000-05-22,61.1875,61.75,60.0,60.9375,163200,14.027325
2000-05-23,60.6875,60.875,59.5,59.5625,243600,13.710810999999998
2000-05-24,59.6875,59.6875,57.0625,59.5625,318800,13.710810999999998
2000-05-25,59.6875,60.875,59.6875,60.0,192800,13.811520000000002
2000-05-26,60.25,60.5,59.0,59.625,316400,13.725198
2000-05-30,59.75,60.0,58.625,60.0,308800,13.811520000000002
2000-05-31,59.875,60.5625,57.8125,57.875,212800,13.322362
2000-06-01,58.0,58.0,56.0,57.9375,743200,13.336749
2000-06-02,58.125,59.375,56.75,59.0,767200,13.581328
2000-06-05,59.0,59.75,57.625,59.5,198400,13.696423999999999
2000-06-06,59.5,60.5,58.625,59.375,222400,13.66765
2000-06-07,59.125,59.875,58.625,59.0,202000,13.581328
2000-06-08,58.9375,58.9375,57.125,57.5,306000,13.23604
2000-06-09,57.625,58.25,57.375,58.25,374000,13.408684
2000-06-12,58.375,59.375,58.125,58.3125,236800,13.423070999999998
2000-06-13,58.3125,58.75,57.625,58.0,176000,13.351135999999999
2000-06-14,58.0,58.0,56.25,56.5625,214400,13.020235000000001
2000-06-15,56.6875,58.75,56.125,58.75,336800,13.523779999999999
2000-06-16,59.25,64.0625,59.25,63.75,888800,14.67474
2000-06-19,64.0,65.625,61.875,64.9375,480800,14.948093
2000-06-20,66.125,66.125,62.875,62.875,390800,14.473322
2000-06-21,62.875,62.875,61.375,62.25,205600,14.329451999999998
2000-06-22,62.125,62.4375,59.3125,59.9375,285600,13.797132999999999
2000-06-23,59.6875,59.9375,58.5625,59.9375,119200,13.797132999999999
2000-06-26,60.0,60.0,59.0625,60.0,216000,13.811520000000002
2000-06-27,59.875,60.0,58.5625,58.875,150000,13.552554
2000-06-28,58.9375,59.0,58.0,58.125,512800,13.37991
2000-06-29,58.125,59.25,57.5625,59.125,406400,13.610102
2000-06-30,59.875,63.625,59.375,61.015598,444000,14.045303
2000-07-03,61.25,62.375,61.0,62.125,89600,14.300678
2000-07-05,62.125,62.125,60.5,61.0625,114000,14.056099
2000-07-06,61.0,62.9375,60.875,62.9375,190400,14.487708999999999
2000-07-07,62.6875,64.625,60.6875,61.5625,201600,14.171195
2000-07-10,61.5,62.875,61.5,62.125,102000,14.300678
2000-07-11,62.375,64.125,61.875,64.0,474000,14.732288
2000-07-12,64.0,65.5,64.0,65.5,226000,15.077576
2000-07-13,65.75,66.0,65.0,65.25,257200,15.020028
2000-07-14,65.375,65.4375,63.25,63.3125,194400,14.574031
2000-07-17,64.5,65.125,63.4375,64.6875,204000,14.890545000000001
2000-07-18,63.6875,63.9375,62.3125,62.6875,164800,14.430160999999998
2000-07-19,62.4375,63.0625,61.875,62.9375,186400,14.487708999999999
2000-07-20,62.9375,66.0625,62.625,65.75,305600,15.135124
2000-07-21,65.875,65.9375,61.25,61.25,149600,14.099260000000001
2000-07-24,61.4375,62.6875,61.25,61.6875,258400,14.199969
2000-07-25,61.75,64.1875,61.375,63.4375,335200,14.602804999999998
2000-07-26,63.1875,63.875,62.5625,63.625,261600,14.645966
2000-07-27,63.75,63.9375,61.875,61.875,173200,14.243129999999999
2000-07-28,62.125,62.3125,60.5,61.25,157600,14.099260000000001
2000-07-31,61.3125,63.25,61.3125,63.25,458400,14.559644
2000-08-01,63.25,64.125,61.9375,61.9375,214800,14.257517000000002
2000-08-02,62.1875,64.375,62.1875,63.8125,121600,14.689127
2000-08-03,63.9375,63.9375,62.125,62.25,138800,14.329451999999998
2000-08-04,62.125,62.9375,62.0,62.9375,129200,14.487708999999999
2000-08-07,62.625,63.125,62.1875,62.75,102000,14.456033999999999
2000-08-08,62.625,63.25,62.375,62.875,70000,14.484829999999999
2000-08-09,62.75,65.5,62.75,63.8125,172000,14.700807000000001
2000-08-10,63.8125,64.125,63.0,63.875,178000,14.715205
2000-08-11,63.875,64.6875,63.5625,64.6875,76000,14.902385
2000-08-14,64.9375,65.0,63.75,64.375,272000,14.830392999999999
2000-08-15,64.125,64.125,63.5625,63.75,195200,14.686409
2000-08-16,63.875,66.25,62.75,66.0,900800,15.204752
2000-08-17,66.0,70.25,66.0,70.0625,1347200,16.140651000000002
2000-08-18,70.0,73.875,69.75,73.875,887600,17.018956
2000-08-21,72.75,74.75,72.6875,74.75,429200,17.220534
2000-08-22,75.0,75.625,74.3125,74.375,559200,17.134142999999998
2000-08-23,74.5,75.9375,74.375,75.125,308000,17.306925
2000-08-24,75.125,78.0,75.125,78.0,187600,17.969253
2000-08-25,78.0,78.0,76.5,77.0625,442000,17.753276
2000-08-28,77.0625,78.25,75.625,76.4375,418000,17.609292
2000-08-29,76.4375,77.3125,76.4375,76.6875,318400,17.666885999999998
2000-08-30,76.625,77.625,76.625,77.125,250400,17.767675
2000-08-31,77.1875,77.1875,76.5,76.75,845600,17.681283999999998
2000-09-01,76.75,77.0,73.75,76.8125,285600,17.695682
2000-09-05,76.8125,78.5625,76.25,76.9375,566400,17.724479000000002
2000-09-06,76.6875,76.6875,75.25,75.25,202800,17.335722
2000-09-07,75.5,76.75,75.1875,76.375,312400,17.594893
2000-09-08,76.375,80.0,76.375,79.0,380000,18.199628
2000-09-11,78.75,81.5625,78.75,81.375,690400,18.746769
2000-09-12,82.0,84.75,81.25,82.3125,676400,18.962745
2000-09-13,82.3125,82.3125,80.4375,81.875,716000,18.861956
2000-09-14,82.125,84.0,81.5,82.75,377600,19.063534
