Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,58.125,63.0,57.6875,62.8125,512000,30.400864000000002
2000-01-04,61.625,61.75,57.1875,59.125,292600,28.616137
2000-01-05,59.1875,60.875,57.125,60.6562,411800,29.357228000000003
2000-01-06,58.25,60.8125,52.625,54.75,385400,26.498664
2000-01-07,54.375,60.9375,52.5,60.375,536000,29.221128999999998
2000-01-10,60.0,60.4375,55.5,57.0937,339800,27.633000000000003
2000-01-11,56.75,61.25,56.375,57.0625,611400,27.6179
2000-01-12,60.875,65.125,60.625,64.734299,1927200,31.331003000000003
2000-01-13,64.8125,69.375,64.8125,69.0,1653400,33.395576
2000-01-14,71.0,77.5,70.0,76.0,1820200,36.783533
2000-01-18,73.4375,79.125,73.4375,79.125,697200,38.296014
2000-01-19,78.0625,88.625,77.1875,88.21869699999999,1000000,42.697307
2000-01-20,88.625,93.0,84.8125,90.5,545400,43.801444000000004
2000-01-21,91.8125,94.9375,89.375,91.9375,666200,44.497184999999995
2000-01-24,91.6875,100.125,83.75,88.78119699999999,549600,42.969553999999995
2000-01-25,88.5,93.125,86.0,91.0,845400,44.043440999999994
2000-01-26,91.75,92.25,83.75,86.625,440800,41.925968
2000-01-27,86.3125,92.375,86.0,87.0,907000,42.107465999999995
2000-01-28,87.0625,91.25,85.9375,87.5,293200,42.349463
2000-01-31,87.9375,87.9375,80.6875,83.75,257800,40.534486
2000-02-01,83.5,88.875,80.9375,88.0,266400,42.59146
2000-02-02,89.625,99.875,88.625,97.3125,726400,47.098652
2000-02-03,97.125,104.125,97.125,103.6875,551400,50.184113
2000-02-04,103.875,111.0,103.875,106.9375,397400,51.757093
2000-02-07,107.0,113.3125,106.75,111.65619699999999,1080400,54.040913
2000-02-08,113.28119699999999,114.3125,100.0,100.375,476400,48.580884000000005
2000-02-09,105.0,105.0,99.375,100.1875,340000,48.490134999999995
2000-02-10,101.9375,119.0,100.625,117.75,481200,56.990277
2000-02-11,123.5,124.5,112.0,115.8125,739800,56.052539
2000-02-14,131.375,141.5,129.0,137.875,1346000,66.730653
2000-02-15,141.0,141.0,130.5,135.468704,464400,65.56602099999999
2000-02-16,141.375,143.0,136.625,138.875,429600,67.214647
2000-02-17,138.8125,141.9375,137.093704,140.468704,629000,67.98599
2000-02-18,141.1875,142.125,128.0,129.75,520200,62.798203
2000-02-22,129.0,136.5,123.5,136.093704,578800,65.868517
2000-02-23,137.25,148.0,137.0,144.218704,326800,69.800967
2000-02-24,145.9375,148.125,143.375,146.75,265600,71.026099
2000-02-25,145.0,150.0,143.5,149.468704,315600,72.34193499999999
2000-02-28,150.75,150.75,136.0,148.843704,418000,72.039439
2000-02-29,149.9375,156.5,143.9375,145.1875,286000,70.269858
2000-03-01,146.3125,156.0,145.0,145.9375,496000,70.63285400000001
2000-03-02,147.125,147.125,131.0,131.921799,369600,63.849340000000005
2000-03-03,139.0,145.875,139.0,143.375,558600,69.392619
2000-03-06,141.0,146.625,133.0,133.125,355000,64.431682
2000-03-07,137.625,145.5,136.0,136.125,276800,65.883664
2000-03-08,136.625,143.0,130.875,142.0,259000,68.72712800000001
2000-03-09,141.75,145.75,134.0,143.875,284600,69.63461600000001
2000-03-10,142.25,146.75,134.0,136.0,170000,65.823165
2000-03-13,133.0,138.0,130.9375,131.5,314600,63.645192
2000-03-14,133.0,141.0625,127.0,127.0,312600,61.46722
2000-03-15,143.125,144.0625,118.53119699999999,125.5,853000,60.741229000000004
2000-03-16,126.25,128.625,114.0,118.5625,744600,57.383522
2000-03-17,118.5,123.0,112.25,116.15619699999999,381400,56.218886
2000-03-20,115.0,115.5625,95.0,97.625,644600,47.2499
2000-03-21,102.0,121.0,99.0625,119.84369699999999,687000,58.003613
2000-03-22,125.0,132.0,121.25,130.0,771600,62.919202
2000-03-23,132.375,132.75,115.5,118.3125,514600,57.262523
2000-03-24,119.0,136.0,119.0,123.25,683800,59.652243000000006
2000-03-27,132.0,132.0,118.875,121.5625,258000,58.835503
2000-03-28,121.0,124.625,115.4375,115.4375,360800,55.871041000000005
2000-03-29,115.25,122.5,108.125,111.4375,344600,53.935066000000006
2000-03-30,110.0,110.0,96.0,104.0,498200,50.335361
2000-03-31,108.0,111.5,95.0,95.0,664000,45.979417
2000-04-03,98.875,99.0,92.375,92.375,527400,44.708933
2000-04-04,94.0,97.0,70.0625,96.0625,1539800,46.49366
2000-04-05,87.75,111.4375,86.25,101.0,790400,48.883379999999995
2000-04-06,111.0,112.5,103.0625,107.0,292200,51.787343
2000-04-07,109.375,112.6875,107.0,111.4375,361200,53.935066000000006
2000-04-10,114.0,115.3125,102.0,103.8125,417000,50.244612
2000-04-11,94.0,102.25,85.0,95.0625,805800,46.009665999999996
2000-04-12,93.84369699999999,95.875,86.0,88.0,529800,42.59146
2000-04-13,90.625,91.625,81.125,81.1875,589600,39.294251
2000-04-14,76.5,77.0,69.0,70.0,715000,33.87957
2000-04-17,68.75,88.0,67.5,88.0,609800,42.59146
2000-04-18,89.0,102.5,80.0,100.859299,811400,48.815281
2000-04-19,100.0625,106.4375,95.75,106.0,867000,51.303349
2000-04-20,53.4375,55.0,49.0,49.5,572500,47.915392
2000-04-24,43.25,49.0,42.0,43.9375,310500,42.53096
2000-04-25,47.125,53.0,46.0,50.5,320900,48.883379999999995
2000-04-26,53.125,55.0,44.5,44.6875,451200,43.256951
2000-04-27,41.5,52.0,40.25,51.9375,338200,50.274862
2000-04-28,52.6875,54.1875,50.375,52.0,312000,50.335361
2000-05-01,51.0625,56.0,51.0625,52.5625,212900,50.879853999999995
2000-05-02,51.5,57.0,50.5,51.25,338700,49.60937
2000-05-03,54.9375,55.5,47.125,50.25,406700,48.641383000000005
2000-05-04,50.125,52.25,47.5625,51.375,234800,49.730369
2000-05-05,51.875,57.5,50.0,57.4375,516900,55.59879399999999
2000-05-08,54.6875,57.875,53.875,54.0625,395300,52.331835999999996
2000-05-09,54.25,54.3125,46.0,47.75,411000,46.221413
2000-05-10,46.5,48.0,43.0,45.25,209100,43.801444000000004
2000-05-11,49.0,51.125,46.75,50.9375,220800,49.306874
2000-05-12,52.875,55.625,45.0,49.625,293100,48.036390000000004
2000-05-15,51.0,52.125,46.375,51.75,276600,50.093364
2000-05-16,51.9375,55.5,49.125,52.1875,354900,50.516859000000004
2000-05-17,50.0,53.125,49.5625,50.0625,150800,48.459885
2000-05-18,51.0,52.75,44.5,44.5,231700,43.075453
2000-05-19,46.9375,47.0,42.375,43.125,330500,41.74447
2000-05-22,45.0,45.8125,40.5,41.3125,334500,39.989993
2000-05-23,41.875,45.375,40.0,40.0625,424300,38.780008
2000-05-24,40.5,45.25,37.375,41.5,735300,40.171490000000006
2000-05-25,44.4375,44.4375,39.5,39.5,456500,38.235515
2000-05-26,39.125,41.1875,38.5625,40.9375,219300,39.626996999999996
2000-05-30,41.125,50.375,41.0625,49.9375,353100,48.338887
2000-05-31,47.0,50.5,45.6875,46.0625,351400,44.587934000000004
2000-06-01,48.5,55.6875,48.0,55.625,733000,53.844317000000004
2000-06-02,58.5,61.0,57.5,60.5,536700,58.56325699999999
2000-06-05,60.0,61.875,57.5,60.25,327600,58.321259999999995
2000-06-06,60.5625,61.125,56.375,56.7812,200500,54.963505000000005
2000-06-07,58.375,58.375,53.375,54.75,431900,52.997327
2000-06-08,55.0,59.0,53.625,58.125,511800,56.264286
2000-06-09,59.0625,61.0,59.0625,60.875,299700,58.926252000000005
2000-06-12,60.375,61.0,58.875,59.9375,474500,58.018764000000004
2000-06-13,56.0,58.625,52.5,58.625,775100,56.74828
2000-06-14,58.8125,59.5,49.75,50.6875,374900,49.064877
2000-06-15,52.9375,59.0,50.0625,53.75,545800,52.029340000000005
2000-06-16,54.375,57.0,51.875,55.0,284800,53.239323999999996
2000-06-19,55.25,58.5,52.0,57.9375,231600,56.082788
2000-06-20,56.25,64.5,56.25,63.875,498400,61.830215
2000-06-21,62.9375,62.9375,60.375,61.25,366500,59.289248
2000-06-22,61.4375,63.0,58.125,58.6875,425000,56.808779
2000-06-23,59.25,62.375,59.1875,60.1875,350000,58.260760999999995
2000-06-26,60.9375,61.25,51.9375,58.75,699400,56.869278
2000-06-27,58.625,58.75,46.0,49.1875,1597600,47.612896
2000-06-28,49.0625,49.75,46.0,46.8125,1243000,45.313925
2000-06-29,47.5625,47.5625,41.5,41.875,1965300,40.534486
2000-06-30,42.75,46.6875,41.5,44.0625,2748700,42.651959000000005
2000-07-03,44.375,44.625,43.0,43.625,310900,42.228464
2000-07-05,42.375,42.5,37.5,39.125,1322200,37.872519
2000-07-06,38.375,39.25,34.4375,35.625,2517900,34.484562
2000-07-07,37.0,39.5,36.75,38.75,2513900,37.509524
2000-07-10,38.9375,40.4375,37.375,37.6875,779900,36.481037
2000-07-11,37.9375,38.1875,33.5625,35.25,1534600,34.121567
2000-07-12,37.1875,39.25,33.375,38.375,4019500,37.146529
2000-07-13,40.4375,48.125,40.375,47.0,4193100,45.495422999999995
2000-07-14,47.0,50.25,43.125,44.8125,1457800,43.37795
2000-07-17,46.25,47.9375,45.125,47.4375,599000,45.918917
2000-07-18,46.5,46.5625,40.875,41.1875,1447400,39.868994
2000-07-19,42.1875,42.1875,37.0625,37.6875,1472800,36.481037
2000-07-20,42.0,43.875,37.25,40.875,2958400,39.566497999999996
2000-07-21,40.125,40.125,36.125,37.5,1649300,36.299539
2000-07-24,38.1875,40.125,36.25,36.75,1252400,35.573549
2000-07-25,37.9375,38.375,36.25,36.9375,1138500,35.755046
2000-07-26,36.9375,36.9375,35.125,36.1875,1040000,35.029055
2000-07-27,33.5,34.0,29.375,32.0,3613600,30.975607
2000-07-28,32.125,33.4375,30.4375,32.75,1463700,31.701597999999997
2000-07-31,33.75,34.625,32.625,34.0625,909000,32.972082
2000-08-01,34.875,35.25,31.625,32.625,831200,31.580599
2000-08-02,32.5625,35.75,31.5,31.6875,1285100,30.673111
2000-08-03,27.625,35.0,25.75,34.875,4040800,33.758571999999994
2000-08-04,35.75,38.0,33.875,35.375,1769600,34.242565
2000-08-07,37.5,40.5,36.75,39.625,1551500,38.356513
2000-08-08,38.5,39.9375,36.5,36.890598,882200,35.709646
2000-08-09,38.875,41.25,37.875,39.875,1491300,38.59851
2000-08-10,38.5625,40.4375,37.625,37.625,602100,36.420538
2000-08-11,37.25,39.3125,36.5625,37.3125,607700,36.118041999999996
2000-08-14,38.1875,39.0,37.0,38.125,616000,36.904532
2000-08-15,38.375,39.375,37.625,37.75,689800,36.541536
2000-08-16,38.125,39.25,35.3125,36.671799,1098300,35.497851000000004
2000-08-17,36.9375,38.75,36.1875,38.4375,1089600,37.207028
2000-08-18,39.125,40.5625,38.8125,40.5625,674300,39.264002000000005
2000-08-21,40.4062,42.4375,38.375,39.625,513800,38.356513
2000-08-22,40.1875,40.1875,38.3125,38.359299,317700,37.13133
2000-08-23,38.375,40.75,37.25,40.5,508500,39.203503000000005
2000-08-24,40.375,41.25,39.5625,41.0,391700,39.687496
2000-08-25,40.25,41.4375,40.0,40.125,650200,38.840507
2000-08-28,39.875,41.4375,39.8125,40.875,313600,39.566497999999996
2000-08-29,40.75,44.5,40.75,43.375,800800,41.986467
2000-08-30,44.0625,48.125,44.0,47.1875,2006300,45.67692
2000-08-31,47.5,52.5,47.5,50.4375,1688500,48.82288
2000-09-01,50.6875,50.75,46.4375,47.5,851500,45.979417
2000-09-05,47.25,47.25,42.5,42.5625,521300,41.199977000000004
2000-09-06,43.25,44.0,39.0625,39.5,1006500,38.235515
2000-09-07,40.75,42.25,39.875,41.5625,1143400,40.231989
2000-09-08,41.4375,44.5,39.0,39.9375,1220200,38.659009000000005
2000-09-11,40.5625,42.625,39.5,41.125,720100,39.808495
2000-09-12,41.625,42.375,40.375,40.5,281200,39.203503000000005
2000-09-13,39.6875,41.625,39.5625,41.375,725100,40.050492
2000-09-14,41.875,44.0,41.5,43.25,1084200,41.865469
2000-09-15,40.8125,40.8125,38.1875,39.5,2915900,38.235515
2000-09-18,39.1875,41.375,39.1875,39.9375,975800,38.659009000000005
2000-09-19,40.375,40.375,36.0,38.9375,1139100,37.691022
2000-09-20,38.875,40.125,36.9375,39.75,768300,38.477512
2000-09-21,38.7187,40.0,37.0,37.0625,1086400,35.876045
2000-09-22,34.75,36.6875,34.125,36.4375,1176800,35.271052000000005
2000-09-25,36.5,38.0,33.25,33.25,703500,32.185592
2000-09-26,34.125,36.25,32.75,34.5625,980100,33.456075
